"id","code","label","parent_id","code_prefix","map_color","label_short","is_key"
31,"1.1.2.2","Zones à autres matériaux composites",29,"CS1.1.2.2","#a64d00","Zones à autres matériaux compo...","false"
32,"1.2","Surfaces naturelles",24,"CS1.2","#ccc","Surfaces naturelles","false"
33,"1.2.1","Sols nus (Sable; pierres meubles; rochers saillants; …)",32,"CS1.2.1","#ccc","Sols nus","false"
34,"1.2.2","Surfaces d'eau (Eau continentale et maritime)",32,"CS1.2.2","#00ccf2","Surfaces d'eau","false"
35,"1.2.3","Névés et glaciers",32,"CS1.2.3","#a6e6cc","Névés et glaciers","false"
36,"2","Avec végétation",,"CS2","#80ff00","Avec végétation","false"
37,"2.1","Végétation ligneuse",36,"CS2.1","#80ff00","Végétation ligneuse","false"
38,"2.1.1","Formations arborées",37,"CS2.1.1","#80be00","Formations arborées","false"
39,"2.1.1.1","Peuplement de feuillus",38,"CS2.1.1.1","#80ff00","Peuplement de feuillus","false"
40,"2.1.1.2","Peuplement de conifères",38,"CS2.1.1.2","#00a600","Peuplement de conifères","false"
41,"2.1.1.3","Peuplement mixte",38,"CS2.1.1.3","#80be00","Peuplement mixte","false"
42,"2.1.2","Formations arbustives et sous-arbrisseaux (Landes basses; formations arbustives; formations arbustives organisées; …)",37,"CS2.1.2","#a6ff80","Formations arbustives et sous-...","false"
43,"2.1.3","Autres formations ligneuses (Vignes et autres lianes)",37,"CS2.1.3","#e68000","Autres formations ligneuses","false"
44,"2.2","Végétation non ligneuse",36,"CS2.2","#ccf24d","Végétation non ligneuse","false"
45,"2.2.1","Formations herbacées (Pelouses et prairies; terres arables; roselières; …)",44,"CS2.2.1","#ccf24d","Formations herbacées","false"
46,"2.2.2","Autres formations non ligneuses (Lichen; mousse; bananiers; bambous; ...)",44,"CS2.2.2","#cfc","Autres formations non ligneuse...","false"
24,"1","Sans végétation",,"CS1","#ff377a","Sans végétation","false"
25,"1.1","Surfaces anthropisées",24,"CS1.1","#ff377a","Surfaces anthropisées","false"
26,"1.1.1","Zones imperméables",25,"CS1.1.1","#ff377a","Zones imperméables","false"
27,"1.1.1.1","Zones bâties",26,"CS1.1.1.1","#ff377a","Zones bâties","false"
28,"1.1.1.2","Zones non bâties (Routes; places; parking…)",26,"CS1.1.1.2","#ff9191","Zones non bâties","false"
29,"1.1.2","Zones perméables",25,"CS1.1.2","#ff9","Zones perméables","false"
30,"1.1.2.1","Zones à matériaux minéraux",29,"CS1.1.2.1","#ff9","Zones à matériaux minéraux","false"
