id,couverture,usage,is_artificial,is_consumed,is_natural,label
552,46,22,0,0,0,NONE
551,46,21,0,0,1,NAF
550,46,30,0,0,0,NONE
549,46,38,0,0,1,NAF
548,46,37,0,0,1,NAF
547,46,36,0,0,0,NONE
546,46,35,0,0,0,NONE
545,46,32,0,0,0,NONE
544,46,31,0,0,0,NONE
543,46,34,0,0,0,NONE
542,46,33,0,0,0,NONE
541,46,43,0,1,1,CONSU
540,46,42,0,1,1,CONSU
539,46,41,0,0,0,NONE
538,46,29,0,0,0,NONE
537,46,28,0,0,0,NONE
536,46,40,0,1,1,CONSU
535,46,26,0,0,0,NONE
534,46,39,0,1,1,CONSU
533,46,27,0,0,0,NONE
532,46,25,0,0,0,NONE
531,46,24,0,0,0,NONE
530,46,23,0,0,1,NAF
529,46,20,0,0,0,NONE
528,45,22,0,0,0,NONE
527,45,21,0,0,1,NAF
526,45,30,0,0,0,NONE
525,45,38,0,0,1,NAF
524,45,37,0,0,1,NAF
523,45,36,0,1,1,CONSU
522,45,35,0,1,1,CONSU
521,45,32,0,1,1,CONSU
520,45,31,0,1,1,CONSU
519,45,34,0,0,0,NONE
518,45,33,0,1,1,CONSU
517,45,43,0,1,1,CONSU
516,45,42,0,1,1,CONSU
515,45,41,0,1,1,CONSU
514,45,29,0,0,0,NONE
513,45,28,0,1,1,CONSU
512,45,40,0,1,1,CONSU
511,45,26,0,1,1,CONSU
510,45,39,0,1,1,CONSU
509,45,27,0,1,1,CONSU
508,45,25,0,0,1,NAF
507,45,24,0,0,1,NAF
506,45,23,0,0,1,NAF
505,45,20,0,0,0,NONE
504,37,22,0,0,0,NONE
503,37,21,0,0,0,NONE
502,37,30,0,0,0,NONE
501,37,38,0,0,0,NONE
500,37,37,0,0,0,NONE
499,37,36,0,0,0,NONE
498,37,35,0,0,0,NONE
497,37,32,0,0,0,NONE
496,37,31,0,0,0,NONE
495,37,34,0,0,0,NONE
494,37,33,0,0,0,NONE
493,37,43,0,0,0,NONE
492,37,42,0,0,0,NONE
491,37,41,0,0,0,NONE
490,37,29,0,0,0,NONE
489,37,28,0,0,0,NONE
488,37,40,0,0,0,NONE
487,37,26,0,0,0,NONE
486,37,39,0,0,0,NONE
485,37,27,0,0,0,NONE
484,37,25,0,0,0,NONE
483,37,24,0,0,0,NONE
482,37,23,0,0,0,NONE
481,37,20,0,0,0,NONE
480,32,22,0,0,0,NONE
479,32,21,0,0,0,NONE
478,32,30,0,0,0,NONE
477,32,38,0,0,0,NONE
476,32,37,0,0,0,NONE
475,32,36,0,0,0,NONE
474,32,35,0,0,0,NONE
473,32,32,0,0,0,NONE
472,32,31,0,0,0,NONE
471,32,34,0,0,0,NONE
470,32,33,0,0,0,NONE
469,32,43,0,0,0,NONE
468,32,42,0,0,0,NONE
467,32,41,0,0,0,NONE
466,32,29,0,0,0,NONE
465,32,28,0,0,0,NONE
464,32,40,0,0,0,NONE
463,32,26,0,0,0,NONE
462,32,39,0,0,0,NONE
461,32,27,0,0,0,NONE
460,32,25,0,0,0,NONE
459,32,24,0,0,0,NONE
458,32,23,0,0,0,NONE
457,32,20,0,0,0,NONE
456,29,22,0,0,0,NONE
455,29,21,0,0,0,NONE
454,29,30,0,0,0,NONE
453,29,38,0,0,0,NONE
452,29,37,0,0,0,NONE
451,29,36,0,0,0,NONE
450,29,35,0,0,0,NONE
449,29,32,0,0,0,NONE
448,29,31,0,0,0,NONE
447,29,34,0,0,0,NONE
446,29,33,0,0,0,NONE
445,29,43,0,0,0,NONE
444,29,42,0,0,0,NONE
443,29,41,0,0,0,NONE
442,29,29,0,0,0,NONE
441,29,28,0,0,0,NONE
440,29,40,0,0,0,NONE
439,29,26,0,0,0,NONE
438,29,39,0,0,0,NONE
437,29,27,0,0,0,NONE
436,29,25,0,0,0,NONE
435,29,24,0,0,0,NONE
434,29,23,0,0,0,NONE
433,29,20,0,0,0,NONE
432,26,22,0,0,0,NONE
431,26,21,0,0,0,NONE
430,26,30,0,0,0,NONE
429,26,38,0,0,0,NONE
428,26,37,0,0,0,NONE
427,26,36,0,0,0,NONE
426,26,35,0,0,0,NONE
425,26,32,0,0,0,NONE
424,26,31,0,0,0,NONE
423,26,34,0,0,0,NONE
422,26,33,0,0,0,NONE
421,26,43,0,0,0,NONE
420,26,42,0,0,0,NONE
419,26,41,0,0,0,NONE
418,26,29,0,0,0,NONE
417,26,28,0,0,0,NONE
416,26,40,0,0,0,NONE
415,26,26,0,0,0,NONE
414,26,39,0,0,0,NONE
413,26,27,0,0,0,NONE
412,26,25,0,0,0,NONE
411,26,24,0,0,0,NONE
410,26,23,0,0,0,NONE
409,26,20,0,0,0,NONE
408,25,22,0,0,0,NONE
407,25,21,0,0,0,NONE
406,25,30,0,0,0,NONE
405,25,38,0,0,0,NONE
404,25,37,0,0,0,NONE
403,25,36,0,0,0,NONE
402,25,35,0,0,0,NONE
401,25,32,0,0,0,NONE
400,25,31,0,0,0,NONE
399,25,34,0,0,0,NONE
398,25,33,0,0,0,NONE
397,25,43,0,0,0,NONE
396,25,42,0,0,0,NONE
395,25,41,0,0,0,NONE
394,25,29,0,0,0,NONE
393,25,28,0,0,0,NONE
392,25,40,0,0,0,NONE
391,25,26,0,0,0,NONE
390,25,39,0,0,0,NONE
389,25,27,0,0,0,NONE
388,25,25,0,0,0,NONE
387,25,24,0,0,0,NONE
386,25,23,0,0,0,NONE
385,25,20,0,0,0,NONE
384,43,22,0,0,0,NONE
383,43,21,0,0,1,NAF
382,43,30,0,0,0,NONE
381,43,38,0,0,1,NAF
380,43,37,0,0,0,NONE
379,43,36,0,0,0,NONE
378,43,35,0,0,0,NONE
377,43,32,0,0,0,NONE
376,43,31,0,0,0,NONE
375,43,34,0,0,0,NONE
374,43,33,0,1,1,CONSU
373,43,43,0,1,1,CONSU
372,43,42,0,1,1,CONSU
371,43,41,0,0,0,NONE
370,43,29,0,0,0,NONE
369,43,28,0,1,1,CONSU
368,43,40,0,1,1,CONSU
367,43,26,0,1,1,CONSU
366,43,39,0,1,1,CONSU
365,43,27,0,1,1,CONSU
364,43,25,0,0,0,NONE
363,43,24,0,0,0,NONE
362,43,23,0,0,0,NONE
361,43,20,0,0,0,NONE
360,42,22,0,0,1,NAF
359,42,21,0,0,1,NAF
358,42,30,0,0,0,NONE
357,42,38,0,0,1,NAF
356,42,37,0,0,1,NAF
355,42,36,0,1,1,CONSU
354,42,35,0,1,1,CONSU
353,42,32,0,1,1,CONSU
352,42,31,0,1,1,CONSU
351,42,34,0,0,0,NONE
350,42,33,0,1,1,CONSU
349,42,43,0,1,1,CONSU
348,42,42,0,1,1,CONSU
347,42,41,0,1,1,CONSU
346,42,29,0,0,0,NONE
345,42,28,0,1,1,CONSU
344,42,40,0,1,1,CONSU
343,42,26,0,1,1,CONSU
342,42,39,0,1,1,CONSU
341,42,27,0,1,1,CONSU
340,42,25,0,0,1,NAF
339,42,24,0,0,1,NAF
338,42,23,0,0,1,NAF
337,42,20,0,0,0,NONE
336,41,22,0,0,1,NAF
335,41,21,0,0,0,NONE
334,41,30,0,0,0,NONE
333,41,38,0,0,1,NAF
332,41,37,0,0,1,NAF
331,41,36,0,1,1,CONSU
330,41,35,0,0,0,NONE
329,41,32,0,1,1,CONSU
328,41,31,0,0,0,NONE
327,41,34,0,0,0,NONE
326,41,33,0,1,1,CONSU
325,41,43,0,1,1,CONSU
324,41,42,0,1,1,CONSU
323,41,41,0,1,1,CONSU
322,41,29,0,0,0,NONE
321,41,28,0,1,1,CONSU
320,41,40,0,1,1,CONSU
319,41,26,0,1,1,CONSU
318,41,39,0,1,1,CONSU
317,41,27,0,1,1,CONSU
316,41,25,0,0,1,NAF
315,41,24,0,0,1,NAF
314,41,23,0,0,1,NAF
313,41,20,0,0,0,NONE
312,40,22,0,0,1,NAF
311,40,21,0,0,0,NONE
310,40,30,0,0,0,NONE
309,40,38,0,0,1,NAF
308,40,37,0,0,1,NAF
307,40,36,0,1,1,CONSU
306,40,35,0,0,0,NONE
305,40,32,0,1,1,CONSU
304,40,31,0,0,0,NONE
303,40,34,0,0,0,NONE
302,40,33,0,1,1,CONSU
301,40,43,0,1,1,CONSU
300,40,42,0,1,1,CONSU
299,40,41,0,1,1,CONSU
298,40,29,0,0,0,NONE
297,40,28,0,1,1,CONSU
296,40,40,0,1,1,CONSU
295,40,26,0,1,1,CONSU
294,40,39,0,1,1,CONSU
293,40,27,0,1,1,CONSU
292,40,25,0,0,1,NAF
291,40,24,0,0,1,NAF
290,40,23,0,0,1,NAF
289,40,20,0,0,0,NONE
288,39,22,0,0,1,NAF
287,39,21,0,0,1,NAF
